model,window,method,policy,residual_residency,nll,hbm_mib,dram_mib
mistral,0,bf16,,,1.7184366836073366,1056.0,0.0
mistral,0,tq2,,,1.83459677263615,142.25048828125,0.0
mistral,0,paged_precision,,0.0,1.8104654776934694,142.25439453125,0.0
mistral,0,paged_precision,sink,0.1,1.8163467456653635,155.75439453125,118.5
mistral,0,paged_precision,recent,0.1,1.7195056437129033,155.75439453125,118.5
mistral,0,paged_precision,attention_ema,0.1,1.7382824032566822,155.75439453125,118.5
mistral,0,paged_precision,sink,0.25,1.8127762531422604,175.25439453125,99.0
mistral,0,paged_precision,recent,0.25,1.7158801353519566,175.25439453125,99.0
mistral,0,paged_precision,attention_ema,0.25,1.7279199381536356,175.25439453125,99.0
mistral,0,paged_precision,sink,0.5,1.7713955415755258,208.25439453125,66.0
mistral,0,paged_precision,recent,0.5,1.7128338829708891,208.25439453125,66.0
mistral,0,paged_precision,attention_ema,0.5,1.7156775869086474,208.25439453125,66.0
mistral,0,tq3,,,1.7272092244548292,208.2509765625,0.0
mistral,0,tq4,,1.0,1.70858958120564,274.251953125,0.0
mistral,1,bf16,,,1.3036857592627396,1056.0,0.0
mistral,1,tq2,,,1.4961258199228098,142.25048828125,0.0
mistral,1,paged_precision,,0.0,1.4773549914489905,142.25439453125,0.0
mistral,1,paged_precision,sink,0.1,1.462666568489965,155.75439453125,118.5
mistral,1,paged_precision,recent,0.1,1.3513372391264475,155.75439453125,118.5
mistral,1,paged_precision,attention_ema,0.1,1.3335032174290937,155.75439453125,118.5
mistral,1,paged_precision,sink,0.25,1.438133792169637,175.25439453125,99.0
mistral,1,paged_precision,recent,0.25,1.3394507716216086,175.25439453125,99.0
mistral,1,paged_precision,attention_ema,0.25,1.3146740473903034,175.25439453125,99.0
mistral,1,paged_precision,sink,0.5,1.423445765531845,208.25439453125,66.0
mistral,1,paged_precision,recent,0.5,1.3404303639078368,208.25439453125,66.0
mistral,1,paged_precision,attention_ema,0.5,1.3176269222638073,208.25439453125,66.0
mistral,1,tq3,,,1.3229964474131712,208.2509765625,0.0
mistral,1,tq4,,1.0,1.3131742821154262,274.251953125,0.0
mistral,2,bf16,,,1.5107125018361245,1056.0,0.0
mistral,2,tq2,,,1.6858668502216005,142.25048828125,0.0
mistral,2,paged_precision,,0.0,1.7020827280567232,142.25439453125,0.0
mistral,2,paged_precision,sink,0.1,1.6847387407265444,155.75439453125,118.5
mistral,2,paged_precision,recent,0.1,1.5590864835943705,155.75439453125,118.5
mistral,2,paged_precision,attention_ema,0.1,1.5351155795533487,155.75439453125,118.5
mistral,2,paged_precision,sink,0.25,1.6876908771906187,175.25439453125,99.0
mistral,2,paged_precision,recent,0.25,1.5442411794203963,175.25439453125,99.0
mistral,2,paged_precision,attention_ema,0.25,1.5239426063060648,175.25439453125,99.0
mistral,2,paged_precision,sink,0.5,1.6700778853413567,208.25439453125,66.0
mistral,2,paged_precision,recent,0.5,1.54840480949413,208.25439453125,66.0
mistral,2,paged_precision,attention_ema,0.5,1.5163666553605566,208.25439453125,66.0
mistral,2,tq3,,,1.5721461251216766,208.2509765625,0.0
mistral,2,tq4,,1.0,1.517084671971702,274.251953125,0.0
mistral,3,bf16,,,1.5519372103231106,1056.0,0.0
mistral,3,tq2,,,1.7767912547248557,142.25048828125,0.0
mistral,3,paged_precision,,0.0,1.8015013758204077,142.25439453125,0.0
mistral,3,paged_precision,sink,0.1,1.772290901615122,155.75439453125,118.5
mistral,3,paged_precision,recent,0.1,1.6002846713650882,155.75439453125,118.5
mistral,3,paged_precision,attention_ema,0.1,1.5741320008455837,155.75439453125,118.5
mistral,3,paged_precision,sink,0.25,1.7704203956995457,175.25439453125,99.0
mistral,3,paged_precision,recent,0.25,1.586253375215101,175.25439453125,99.0
mistral,3,paged_precision,attention_ema,0.25,1.5681939470313004,175.25439453125,99.0
mistral,3,paged_precision,sink,0.5,1.7450972858853788,208.25439453125,66.0
mistral,3,paged_precision,recent,0.5,1.588567021423657,208.25439453125,66.0
mistral,3,paged_precision,attention_ema,0.5,1.562395057794724,208.25439453125,66.0
mistral,3,tq3,,,1.5980776949901312,208.2509765625,0.0
mistral,3,tq4,,1.0,1.5542852969371594,274.251953125,0.0
mistral,4,bf16,,,1.3926588109389293,1056.0,0.0
mistral,4,tq2,,,1.5643883300064232,142.25048828125,0.0
mistral,4,paged_precision,,0.0,1.546253237388818,142.25439453125,0.0
mistral,4,paged_precision,sink,0.1,1.5274744609191941,155.75439453125,118.5
mistral,4,paged_precision,recent,0.1,1.437427138179677,155.75439453125,118.5
mistral,4,paged_precision,attention_ema,0.1,1.4177818411482264,155.75439453125,118.5
mistral,4,paged_precision,sink,0.25,1.5119967259655454,175.25439453125,99.0
mistral,4,paged_precision,recent,0.25,1.4077120645959358,175.25439453125,99.0
mistral,4,paged_precision,attention_ema,0.25,1.405048531492028,175.25439453125,99.0
mistral,4,paged_precision,sink,0.5,1.51169879168404,208.25439453125,66.0
mistral,4,paged_precision,recent,0.5,1.4012223706544429,208.25439453125,66.0
mistral,4,paged_precision,attention_ema,0.5,1.4017667520429882,208.25439453125,66.0
mistral,4,tq3,,,1.4259725868595279,208.2509765625,0.0
mistral,4,tq4,,1.0,1.4037243315459627,274.251953125,0.0
mistral,5,bf16,,,2.127650971985048,1056.0,0.0
mistral,5,tq2,,,2.3761406753276333,142.25048828125,0.0
mistral,5,paged_precision,,0.0,2.3111748748313516,142.25439453125,0.0
mistral,5,paged_precision,sink,0.1,2.3358914031788345,155.75439453125,118.5
mistral,5,paged_precision,recent,0.1,2.18418909372906,155.75439453125,118.5
mistral,5,paged_precision,attention_ema,0.1,2.1555568247339068,155.75439453125,118.5
mistral,5,paged_precision,sink,0.25,2.3602082182181903,175.25439453125,99.0
mistral,5,paged_precision,recent,0.25,2.168181355469983,175.25439453125,99.0
mistral,5,paged_precision,attention_ema,0.25,2.158287988946853,175.25439453125,99.0
mistral,5,paged_precision,sink,0.5,2.335971118207908,208.25439453125,66.0
mistral,5,paged_precision,recent,0.5,2.154339056665492,208.25439453125,66.0
mistral,5,paged_precision,attention_ema,0.5,2.137147929596779,208.25439453125,66.0
mistral,5,tq3,,,2.155715186252735,208.2509765625,0.0
mistral,5,tq4,,1.0,2.127525332295022,274.251953125,0.0
mistral,6,bf16,,,1.9721798962878623,1056.0,0.0
mistral,6,tq2,,,2.144524798003715,142.25048828125,0.0
mistral,6,paged_precision,,0.0,2.171432147697658,142.25439453125,0.0
mistral,6,paged_precision,sink,0.1,2.1305056511639577,155.75439453125,118.5
mistral,6,paged_precision,recent,0.1,1.9829480098525707,155.75439453125,118.5
mistral,6,paged_precision,attention_ema,0.1,1.9845977861314168,155.75439453125,118.5
mistral,6,paged_precision,sink,0.25,2.1420219916252563,175.25439453125,99.0
mistral,6,paged_precision,recent,0.25,1.9833313725813326,175.25439453125,99.0
mistral,6,paged_precision,attention_ema,0.25,1.9864199424001399,175.25439453125,99.0
mistral,6,paged_precision,sink,0.5,2.1171923357083813,208.25439453125,66.0
mistral,6,paged_precision,recent,0.5,1.982922553137243,208.25439453125,66.0
mistral,6,paged_precision,attention_ema,0.5,1.9716988259289892,208.25439453125,66.0
mistral,6,tq3,,,2.0071248283336374,208.2509765625,0.0
mistral,6,tq4,,1.0,1.9652584237546336,274.251953125,0.0
mistral,7,bf16,,,1.1889206642148107,1056.0,0.0
mistral,7,tq2,,,1.4333557850193017,142.25048828125,0.0
mistral,7,paged_precision,,0.0,1.3712995858826318,142.25439453125,0.0
mistral,7,paged_precision,sink,0.1,1.3400786673172291,155.75439453125,118.5
mistral,7,paged_precision,recent,0.1,1.2318064052789612,155.75439453125,118.5
mistral,7,paged_precision,attention_ema,0.1,1.2187648556397956,155.75439453125,118.5
mistral,7,paged_precision,sink,0.25,1.3557431982960324,175.25439453125,99.0
mistral,7,paged_precision,recent,0.25,1.211265753733871,175.25439453125,99.0
mistral,7,paged_precision,attention_ema,0.25,1.2030920237534115,175.25439453125,99.0
mistral,7,paged_precision,sink,0.5,1.344846404339144,208.25439453125,66.0
mistral,7,paged_precision,recent,0.5,1.1965965832363423,208.25439453125,66.0
mistral,7,paged_precision,attention_ema,0.5,1.2028492787128133,208.25439453125,66.0
mistral,7,tq3,,,1.2053331362670932,208.2509765625,0.0
mistral,7,tq4,,1.0,1.1987206121667136,274.251953125,0.0
mistral,8,bf16,,,1.4082341479237348,1056.0,0.0
mistral,8,tq2,,,1.5527077808177978,142.25048828125,0.0
mistral,8,paged_precision,,0.0,1.5194498573920896,142.25439453125,0.0
mistral,8,paged_precision,sink,0.1,1.5263290702339418,155.75439453125,118.5
mistral,8,paged_precision,recent,0.1,1.4768358589048187,155.75439453125,118.5
mistral,8,paged_precision,attention_ema,0.1,1.4531694736835359,155.75439453125,118.5
mistral,8,paged_precision,sink,0.25,1.5215916124791136,175.25439453125,99.0
mistral,8,paged_precision,recent,0.25,1.4462630091488666,175.25439453125,99.0
mistral,8,paged_precision,attention_ema,0.25,1.433026244322507,175.25439453125,99.0
mistral,8,paged_precision,sink,0.5,1.484496647670369,208.25439453125,66.0
mistral,8,paged_precision,recent,0.5,1.4329760843883115,208.25439453125,66.0
mistral,8,paged_precision,attention_ema,0.5,1.421102443123659,208.25439453125,66.0
mistral,8,tq3,,,1.4328530485992186,208.2509765625,0.0
mistral,8,tq4,,1.0,1.412919164551397,274.251953125,0.0
mistral,9,bf16,,,0.9162161051885427,1056.0,0.0
mistral,9,tq2,,,1.0403712410878825,142.25048828125,0.0
mistral,9,paged_precision,,0.0,1.0449936173181982,142.25439453125,0.0
mistral,9,paged_precision,sink,0.1,1.0452482039267466,155.75439453125,118.5
mistral,9,paged_precision,recent,0.1,0.915910911130716,155.75439453125,118.5
mistral,9,paged_precision,attention_ema,0.1,0.9324786054563674,155.75439453125,118.5
mistral,9,paged_precision,sink,0.25,1.0437516805519067,175.25439453125,99.0
mistral,9,paged_precision,recent,0.25,0.9250257285499579,175.25439453125,99.0
mistral,9,paged_precision,attention_ema,0.25,0.9375382135425383,175.25439453125,99.0
mistral,9,paged_precision,sink,0.5,1.0284747506020722,208.25439453125,66.0
mistral,9,paged_precision,recent,0.5,0.9221192486303273,208.25439453125,66.0
mistral,9,paged_precision,attention_ema,0.5,0.9234838307081361,208.25439453125,66.0
mistral,9,tq3,,,0.9355729285300001,208.2509765625,0.0
mistral,9,tq4,,1.0,0.9279645032124151,274.251953125,0.0
mistral,10,bf16,,,1.4860676803840143,1056.0,0.0
mistral,10,tq2,,,1.7170511951499634,142.25048828125,0.0
mistral,10,paged_precision,,0.0,1.6657101576742974,142.25439453125,0.0
mistral,10,paged_precision,sink,0.1,1.6463302819122987,155.75439453125,118.5
mistral,10,paged_precision,recent,0.1,1.526756622876638,155.75439453125,118.5
mistral,10,paged_precision,attention_ema,0.1,1.5057237634037168,155.75439453125,118.5
mistral,10,paged_precision,sink,0.25,1.627587170497037,175.25439453125,99.0
mistral,10,paged_precision,recent,0.25,1.5229817940388202,175.25439453125,99.0
mistral,10,paged_precision,attention_ema,0.25,1.5069628398891375,175.25439453125,99.0
mistral,10,paged_precision,sink,0.5,1.624389758566366,208.25439453125,66.0
mistral,10,paged_precision,recent,0.5,1.513009296868299,208.25439453125,66.0
mistral,10,paged_precision,attention_ema,0.5,1.500733273575932,208.25439453125,66.0
mistral,10,tq3,,,1.5243166302369104,208.2509765625,0.0
mistral,10,tq4,,1.0,1.4890783772891893,274.251953125,0.0
mistral,11,bf16,,,1.9128068347659664,1056.0,0.0
mistral,11,tq2,,,2.1571701562199763,142.25048828125,0.0
mistral,11,paged_precision,,0.0,2.1699297879736292,142.25439453125,0.0
mistral,11,paged_precision,sink,0.1,2.0639470471665433,155.75439453125,118.5
mistral,11,paged_precision,recent,0.1,1.9463206499474381,155.75439453125,118.5
mistral,11,paged_precision,attention_ema,0.1,1.9274139818123857,155.75439453125,118.5
mistral,11,paged_precision,sink,0.25,2.0933722147742806,175.25439453125,99.0
mistral,11,paged_precision,recent,0.25,1.9358862249871152,175.25439453125,99.0
mistral,11,paged_precision,attention_ema,0.25,1.9359934657781253,175.25439453125,99.0
mistral,11,paged_precision,sink,0.5,2.126430247323846,208.25439453125,66.0
mistral,11,paged_precision,recent,0.5,1.9350923804024518,208.25439453125,66.0
mistral,11,paged_precision,attention_ema,0.5,1.918282485908712,208.25439453125,66.0
mistral,11,tq3,,,1.9291444299175176,208.2509765625,0.0
mistral,11,tq4,,1.0,1.9183108736731356,274.251953125,0.0
mistral,12,bf16,,,1.8213830133044695,1056.0,0.0
mistral,12,tq2,,,2.1013361940444995,142.25048828125,0.0
